Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1771.0435
FDW14,OUT017,1483.5601
NCN55,OUT010,542.2047
FDQ58,OUT017,2566.7672
FDY38,OUT027,5306.3343
FDH56,OUT046,1943.5235
FDL48,OUT018,972.6158
FDC48,OUT027,2466.8356
FDN33,OUT045,1596.8397
FDA36,OUT017,2925.093
FDT44,OUT017,1831.5582
FDQ56,OUT045,1487.0665
NCC54,OUT019,516.7057
FDU11,OUT049,2017.5671
DRL59,OUT013,948.1563
FDM24,OUT049,2567.7779
FDI57,OUT045,2965.3201
DRC12,OUT018,2770.2738
NCM42,OUT027,2846.6669
FDA46,OUT010,461.0799
FDA31,OUT013,2929.3218
NCJ31,OUT035,3520.0828
FDG52,OUT046,957.0409
NCL19,OUT019,318.224
FDS10,OUT035,3082.6752
FDX22,OUT010,526.1365
NCF19,OUT035,1009.7695
NCE06,OUT046,2605.8599
DRC27,OUT046,3661.4046
FDE21,OUT035,1966.6129
NCR42,OUT019,166.9699
FDX51,OUT018,2635.5855
NCR06,OUT018,916.1824
FDU31,OUT027,5159.558
FDU59,OUT017,2520.7623
FDR03,OUT027,5047.3147
FDS49,OUT027,2498.7321
FDD48,OUT010,251.912
NCF18,OUT017,3052.805
NCD43,OUT027,2789.2057
NCD54,OUT018,1801.5915
FDY19,OUT010,250.7351
NCY54,OUT017,2680.4429
NCL19,OUT018,2083.8653
FDP23,OUT010,502.631
FDC26,OUT013,1774.6392
FDR14,OUT010,220.8934
NCS41,OUT035,3159.378
FDF41,OUT035,3690.8733
FDU34,OUT046,1964.7913
DRH11,OUT046,1073.3433
FDM03,OUT013,1742.4719
FDS31,OUT017,3033.0702
FDJ20,OUT017,1903.3621
FDV44,OUT027,4894.8854
FDG02,OUT049,3065.0791
FDA09,OUT013,3036.9201
FDT04,OUT013,928.7
FDL58,OUT019,530.755
FDE52,OUT045,1461.7038
FDW12,OUT035,2622.3401
FDL51,OUT017,3441.2524
NCY42,OUT027,3122.2985
FDR07,OUT017,1895.0016
FDN40,OUT045,2465.3986
FDB35,OUT027,2779.5406
FDA22,OUT017,2632.0523
NCL06,OUT046,3825.8547
FDI35,OUT013,3059.3397
NCW42,OUT045,3581.3702
NCX06,OUT049,2976.7443
FDC37,OUT027,2806.4843
FDZ14,OUT018,1606.8282
DRG49,OUT049,3844.7407
NCG06,OUT045,3770.2532
DRC36,OUT045,2884.927
FDV21,OUT019,336.5924
FDB53,OUT046,2627.4635
DRP47,OUT019,496.076
FDA14,OUT013,2608.5412
DRC24,OUT035,2754.2343
FDW21,OUT018,1504.3835
NCH29,OUT046,1761.3335
FDU58,OUT013,3029.8573
FDY27,OUT017,2793.3912
FDV56,OUT035,1845.1074
FDT59,OUT046,3555.018
FDB23,OUT046,3439.6295
FDR49,OUT045,982.0377
FDB03,OUT010,520.1466
FDN39,OUT045,2883.6153
FDX02,OUT027,5206.1108
FDQ16,OUT027,2803.9426
FDU35,OUT018,1499.077
NCT29,OUT013,1897.4616
FDZ27,OUT046,1011.4566
FDN57,OUT017,1927.2686
FDA03,OUT018,2127.3814
FDZ36,OUT045,3025.1526
NCU05,OUT013,1347.1857
FDT39,OUT018,2289.6803
FDK60,OUT017,1663.4879
FDZ25,OUT017,2945.7866
FDG12,OUT046,2011.364
DRB01,OUT019,438.6456
NCC43,OUT027,5323.9498
FDX13,OUT019,489.561
FDM22,OUT049,1073.1406
FDJ03,OUT027,2155.2479
FDU14,OUT018,3136.7073
FDB33,OUT010,400.271
FDP27,OUT046,3111.0096
FDO38,OUT010,199.9549
FDE28,OUT027,5308.4739
FDO27,OUT035,1723.3075
DRL23,OUT027,2823.5788
FDS28,OUT046,1050.7846
FDX24,OUT013,1490.9754
FDZ02,OUT035,1693.6867
FDL46,OUT045,1738.9306
FDS60,OUT027,4977.6104
NCO06,OUT017,946.4874
FDO16,OUT035,1614.6808
FDC60,OUT049,1564.4088
FDA48,OUT018,3045.0798
FDZ36,OUT027,4631.2807
FDK27,OUT045,1833.1976
FDW23,OUT018,1012.6412
FDM14,OUT018,1503.9928
FDM14,OUT013,1715.4251
FDW60,OUT018,2575.1345
FDE21,OUT013,1886.0161
NCM42,OUT035,1815.9547
FDY59,OUT010,216.8726
DRI49,OUT049,1398.2418
FDT28,OUT019,335.5448
FDQ22,OUT018,906.7205
FDR60,OUT049,1306.9064
FDC50,OUT019,269.7434
FDV24,OUT013,2569.3436
DRF48,OUT010,485.8674
FDQ47,OUT046,978.7359
DRN36,OUT049,1665.4018
NCY06,OUT035,1963.8621
FDE52,OUT035,1515.8587
NCB54,OUT045,1792.5002
NCF31,OUT035,2664.2173
FDJ08,OUT027,4834.797
NCC07,OUT017,1725.9782
NCD19,OUT027,2137.0282
FDL46,OUT049,1990.1602
FDM20,OUT045,3745.9951
NCI06,OUT010,430.1869
DRM11,OUT035,3801.5536
NCH07,OUT018,2439.9262
FDS23,OUT013,1972.4847
FDO49,OUT018,969.4243
FDS35,OUT049,1164.8086
DRK39,OUT045,1386.2745
DRI39,OUT049,1067.353
FDV04,OUT017,2637.4842
NCN14,OUT035,3092.7774
FDH08,OUT013,3824.1995
FDS20,OUT046,3089.7751
FDV40,OUT049,1234.717
FDZ48,OUT010,248.2112
FDS24,OUT027,2857.6081
FDK44,OUT049,2883.3677
FDS48,OUT045,2697.9065
FDK26,OUT010,499.5218
FDD23,OUT045,3026.6346
NCH54,OUT017,2757.2412
NCP14,OUT010,247.9321
FDM60,OUT010,174.2591
FDV24,OUT017,2482.3184
FDH08,OUT018,2966.7887
FDS12,OUT027,3180.3367
FDR39,OUT027,4853.8296
FDP12,OUT027,2130.2482
DRF60,OUT027,5305.9192
FDC09,OUT035,1813.6067
FDF50,OUT018,2871.4776
FDG28,OUT035,3838.6625
NCE19,OUT017,1047.728
NCM53,OUT010,243.7824
NCN18,OUT049,1770.1878
FDF32,OUT035,3255.543
FDF11,OUT013,3806.3089
DRI59,OUT049,3712.8878
NCG54,OUT035,2951.2006
FDM44,OUT046,1692.3343
FDT57,OUT018,2957.7652
FDV24,OUT046,2528.5798
FDI50,OUT019,492.5114
FDS09,OUT035,1045.9346
NCC31,OUT027,4043.7246
