Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1836.6106
FDW14,OUT017,1605.8909
NCN55,OUT010,1893.8723
FDQ58,OUT017,2613.0562
FDY38,OUT027,5185.9831
FDH56,OUT046,1923.3668
FDL48,OUT018,599.882
FDC48,OUT027,2770.7778
FDN33,OUT045,1567.3828
FDA36,OUT017,3110.8558
FDT44,OUT017,2024.5995
FDQ56,OUT045,1358.3233
NCC54,OUT019,1877.1483
FDU11,OUT049,2044.2922
DRL59,OUT013,898.0673
FDM24,OUT049,2554.8548
FDI57,OUT045,3133.73
DRC12,OUT018,2769.427
NCM42,OUT027,3213.9331
FDA46,OUT010,1126.72
FDA31,OUT013,2794.4806
NCJ31,OUT035,3809.6411
FDG52,OUT046,791.2698
NCL19,OUT019,379.139
FDS10,OUT035,2917.6901
FDX22,OUT010,1455.1602
NCF19,OUT035,845.3934
NCE06,OUT046,2555.0094
DRC27,OUT046,3858.2442
FDE21,OUT035,1920.9875
NCR42,OUT019,-1345.1138
FDX51,OUT018,2866.2921
NCR06,OUT018,443.7139
FDU31,OUT027,4948.0767
FDU59,OUT017,2740.3389
FDR03,OUT027,4754.4311
FDS49,OUT027,2747.3883
FDD48,OUT010,-84.7064
NCF18,OUT017,3176.2244
NCD43,OUT027,3118.4307
NCD54,OUT018,2011.0174
FDY19,OUT010,-47.3675
NCY54,OUT017,2874.8939
NCL19,OUT018,2036.4458
FDP23,OUT010,1519.7732
FDC26,OUT013,1813.4584
FDR14,OUT010,-1038.3334
NCS41,OUT035,2953.3215
FDF41,OUT035,3947.8172
FDU34,OUT046,1990.5444
DRH11,OUT046,934.2614
FDM03,OUT013,1728.6346
FDS31,OUT017,3063.4469
FDJ20,OUT017,2138.7785
FDV44,OUT027,4493.2031
FDG02,OUT049,3095.7974
FDA09,OUT013,2911.6937
FDT04,OUT013,668.5813
FDL58,OUT019,2292.0491
FDE52,OUT045,1498.9911
FDW12,OUT035,2410.2435
FDL51,OUT017,3591.4479
NCY42,OUT027,3709.2819
FDR07,OUT017,1694.4889
FDN40,OUT045,2409.8281
FDB35,OUT027,2957.6716
FDA22,OUT017,2767.0449
NCL06,OUT046,4133.7782
FDI35,OUT013,2905.6222
NCW42,OUT045,3488.7826
NCX06,OUT049,2959.321
FDC37,OUT027,3189.8736
FDZ14,OUT018,1731.579
DRG49,OUT049,3962.957
NCG06,OUT045,4033.4027
DRC36,OUT045,2796.584
FDV21,OUT019,52.9025
FDB53,OUT046,2347.1214
DRP47,OUT019,2049.2487
FDA14,OUT013,2339.1864
DRC24,OUT035,2483.3978
FDW21,OUT018,1401.4662
NCH29,OUT046,1569.8938
FDU58,OUT013,3074.9516
FDY27,OUT017,2961.5073
FDV56,OUT035,1856.1743
FDT59,OUT046,3646.9546
FDB23,OUT046,3621.7366
FDR49,OUT045,742.2116
FDB03,OUT010,1920.6954
FDN39,OUT045,2672.6461
FDX02,OUT027,4974.296
FDQ16,OUT027,3181.9185
FDU35,OUT018,1317.2921
NCT29,OUT013,1980.7981
FDZ27,OUT046,806.9694
FDN57,OUT017,2377.894
FDA03,OUT018,2093.8346
FDZ36,OUT045,2979.4016
NCU05,OUT013,1343.985
FDT39,OUT018,2186.7722
FDK60,OUT017,1748.7815
FDZ25,OUT017,2883.8668
FDG12,OUT046,2011.9703
DRB01,OUT019,1121.7389
NCC43,OUT027,5394.6105
FDX13,OUT019,2021.8581
FDM22,OUT049,1028.0938
FDJ03,OUT027,2309.9891
FDU14,OUT018,3666.2093
FDB33,OUT010,621.182
FDP27,OUT046,3004.9852
FDO38,OUT010,-679.7016
FDE28,OUT027,5149.5986
FDO27,OUT035,1611.6457
DRL23,OUT027,3176.276
FDS28,OUT046,967.1824
FDX24,OUT013,1530.0426
FDZ02,OUT035,1655.2198
FDL46,OUT045,1860.002
FDS60,OUT027,4288.5363
NCO06,OUT017,696.0367
FDO16,OUT035,1425.5128
FDC60,OUT049,1547.2066
FDA48,OUT018,3189.6611
FDZ36,OUT027,4451.666
FDK27,OUT045,1926.8909
FDW23,OUT018,372.6176
FDM14,OUT018,1496.4432
FDM14,OUT013,1774.3167
FDW60,OUT018,2600.9275
FDE21,OUT013,1900.3838
NCM42,OUT035,1808.3933
FDY59,OUT010,-397.5779
DRI49,OUT049,1388.414
FDT28,OUT019,501.3254
FDQ22,OUT018,395.1568
FDR60,OUT049,1324.3637
FDC50,OUT019,-404.4505
FDV24,OUT013,2434.6303
DRF48,OUT010,1074.8868
FDQ47,OUT046,648.5704
DRN36,OUT049,1664.7915
NCY06,OUT035,2100.9462
FDE52,OUT035,1550.7434
NCB54,OUT045,2016.0682
NCF31,OUT035,2476.3658
FDJ08,OUT027,4444.4011
NCC07,OUT017,1849.7823
NCD19,OUT027,2346.3997
FDL46,OUT049,1999.4213
FDM20,OUT045,3875.0223
NCI06,OUT010,943.764
DRM11,OUT035,4134.732
NCH07,OUT018,2232.9281
FDS23,OUT013,2079.9372
FDO49,OUT018,593.969
FDS35,OUT049,1152.9939
DRK39,OUT045,1324.8347
DRI39,OUT049,1047.0907
FDV04,OUT017,2684.1329
NCN14,OUT035,2934.8713
FDH08,OUT013,3686.011
FDS20,OUT046,2899.3779
FDV40,OUT049,1329.9016
FDZ48,OUT010,-153.7497
FDS24,OUT027,2914.2474
FDK44,OUT049,2848.9784
FDS48,OUT045,2387.3055
FDK26,OUT010,1100.7789
FDD23,OUT045,3027.4737
NCH54,OUT017,2702.1975
NCP14,OUT010,-227.9674
FDM60,OUT010,-1200.5267
FDV24,OUT017,2537.3819
FDH08,OUT018,3342.7583
FDS12,OUT027,3464.4333
FDR39,OUT027,4307.3615
FDP12,OUT027,2122.5911
DRF60,OUT027,5182.4718
FDC09,OUT035,1756.7197
FDF50,OUT018,2852.3016
FDG28,OUT035,3949.6081
NCE19,OUT017,1048.1645
NCM53,OUT010,-181.9791
NCN18,OUT049,1867.4335
FDF32,OUT035,3197.674
FDF11,OUT013,3867.4396
DRI59,OUT049,3656.3593
NCG54,OUT035,2734.0359
FDM44,OUT046,1633.3598
FDT57,OUT018,3458.1156
FDV24,OUT046,2394.1355
FDI50,OUT019,1755.8232
FDS09,OUT035,943.586
NCC31,OUT027,3914.6221
FDQ07,OUT019,1599.4086
FDC22,OUT017,3213.7796
FDZ56,OUT046,2692.1291
