Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,0.1286
FDW14,OUT017,0.1157
NCN55,OUT010,0.0256
FDQ58,OUT017,0.1884
FDY38,OUT027,0.4866
FDH56,OUT046,0.1457
FDL48,OUT018,0.0427
FDC48,OUT027,0.1722
FDN33,OUT045,0.1168
FDA36,OUT017,0.2209
FDT44,OUT017,0.15
FDQ56,OUT045,0.0954
NCC54,OUT019,0.0256
FDU11,OUT049,0.1413
DRL59,OUT013,0.0468
FDM24,OUT049,0.197
FDI57,OUT045,0.2452
DRC12,OUT018,0.21
NCM42,OUT027,0.1977
FDA46,OUT010,0.0256
FDA31,OUT013,0.2153
NCJ31,OUT035,0.296
FDG52,OUT046,0.0542
NCL19,OUT019,0.0256
FDS10,OUT035,0.2273
FDX22,OUT010,0.0256
NCF19,OUT035,0.0503
NCE06,OUT046,0.1933
DRC27,OUT046,0.2876
FDE21,OUT035,0.1422
NCR42,OUT019,0.0256
FDX51,OUT018,0.2213
NCR06,OUT018,0.0375
FDU31,OUT027,0.4618
FDU59,OUT017,0.1868
FDR03,OUT027,0.4233
FDS49,OUT027,0.1686
FDD48,OUT010,0.0256
NCF18,OUT017,0.2491
NCD43,OUT027,0.2148
NCD54,OUT018,0.1471
FDY19,OUT010,0.0256
NCY54,OUT017,0.215
NCL19,OUT018,0.1504
FDP23,OUT010,0.0256
FDC26,OUT013,0.1317
FDR14,OUT010,0.0256
NCS41,OUT035,0.2324
FDF41,OUT035,0.3118
FDU34,OUT046,0.148
DRH11,OUT046,0.0731
FDM03,OUT013,0.1253
FDS31,OUT017,0.2411
FDJ20,OUT017,0.1584
FDV44,OUT027,0.3907
FDG02,OUT049,0.2501
FDA09,OUT013,0.2258
FDT04,OUT013,0.042
FDL58,OUT019,0.0256
FDE52,OUT045,0.1102
FDW12,OUT035,0.1842
FDL51,OUT017,0.2753
NCY42,OUT027,0.2439
FDR07,OUT017,0.1214
FDN40,OUT045,0.1561
FDB35,OUT027,0.1776
FDA22,OUT017,0.2012
NCL06,OUT046,0.2998
FDI35,OUT013,0.2295
NCW42,OUT045,0.2746
NCX06,OUT049,0.2319
FDC37,OUT027,0.2274
FDZ14,OUT018,0.1306
DRG49,OUT049,0.3338
NCG06,OUT045,0.3152
DRC36,OUT045,0.2185
FDV21,OUT019,0.0256
FDB53,OUT046,0.1775
DRP47,OUT019,0.0256
FDA14,OUT013,0.1733
DRC24,OUT035,0.1893
FDW21,OUT018,0.1073
NCH29,OUT046,0.1182
FDU58,OUT013,0.2458
FDY27,OUT017,0.211
FDV56,OUT035,0.136
FDT59,OUT046,0.2767
FDB23,OUT046,0.2737
FDR49,OUT045,0.0607
FDB03,OUT010,0.0256
FDN39,OUT045,0.2052
FDX02,OUT027,0.4747
FDQ16,OUT027,0.2098
FDU35,OUT018,0.1046
NCT29,OUT013,0.1441
FDZ27,OUT046,0.0536
FDN57,OUT017,0.1796
FDA03,OUT018,0.1551
FDZ36,OUT045,0.2274
NCU05,OUT013,0.0943
FDT39,OUT018,0.1656
FDK60,OUT017,0.1276
FDZ25,OUT017,0.2252
FDG12,OUT046,0.1533
DRB01,OUT019,0.0256
NCC43,OUT027,0.4584
FDX13,OUT019,0.0256
FDM22,OUT049,0.0535
FDJ03,OUT027,0.099
FDU14,OUT018,0.2725
FDB33,OUT010,0.0256
FDP27,OUT046,0.2324
FDO38,OUT010,0.0256
FDE28,OUT027,0.4816
FDO27,OUT035,0.1198
DRL23,OUT027,0.2141
FDS28,OUT046,0.0707
FDX24,OUT013,0.1075
FDZ02,OUT035,0.1215
FDL46,OUT045,0.1363
FDS60,OUT027,0.3551
NCO06,OUT017,0.0414
FDO16,OUT035,0.0912
FDC60,OUT049,0.1137
FDA48,OUT018,0.2431
FDZ36,OUT027,0.3783
FDK27,OUT045,0.1418
FDW23,OUT018,0.0416
FDM14,OUT018,0.1121
FDM14,OUT013,0.1265
FDW60,OUT018,0.2004
FDE21,OUT013,0.1373
NCM42,OUT035,0.1187
FDY59,OUT010,0.0256
DRI49,OUT049,0.1038
FDT28,OUT019,0.0256
FDQ22,OUT018,0.0362
FDR60,OUT049,0.0963
FDC50,OUT019,0.0256
FDV24,OUT013,0.1738
DRF48,OUT010,0.0256
FDQ47,OUT046,0.0558
DRN36,OUT049,0.1186
NCY06,OUT035,0.1567
FDE52,OUT035,0.1127
NCB54,OUT045,0.1439
NCF31,OUT035,0.1833
FDJ08,OUT027,0.4108
NCC07,OUT017,0.1335
NCD19,OUT027,0.1181
FDL46,OUT049,0.1436
FDM20,OUT045,0.3018
NCI06,OUT010,0.0256
DRM11,OUT035,0.3062
NCH07,OUT018,0.1658
FDS23,OUT013,0.1386
FDO49,OUT018,0.0426
