Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1716.2138
FDW14,OUT017,1716.2138
NCN55,OUT010,471.3068
FDQ58,OUT017,2785.6593
FDY38,OUT027,5669.1633
FDH56,OUT046,1716.2138
FDL48,OUT018,858.3666
FDC48,OUT027,2846.4008
FDN33,OUT045,1716.2138
FDA36,OUT017,2785.6593
FDT44,OUT017,1716.2138
FDQ56,OUT045,1716.2138
NCC54,OUT019,471.3068
FDU11,OUT049,1716.2138
DRL59,OUT013,858.3666
FDM24,OUT049,2785.6593
FDI57,OUT045,2785.6593
DRC12,OUT018,2785.6593
NCM42,OUT027,2846.4008
FDA46,OUT010,471.3068
FDA31,OUT013,2785.6593
NCJ31,OUT035,3845.9303
FDG52,OUT046,858.3666
NCL19,OUT019,207.1305
FDS10,OUT035,2785.6593
FDX22,OUT010,471.3068
NCF19,OUT035,858.3666
NCE06,OUT046,2785.6593
DRC27,OUT046,3845.9303
FDE21,OUT035,1716.2138
NCR42,OUT019,207.1305
FDX51,OUT018,2785.6593
NCR06,OUT018,858.3666
FDU31,OUT027,5669.1633
FDU59,OUT017,2785.6593
FDR03,OUT027,5669.1633
FDS49,OUT027,2846.4008
FDD48,OUT010,207.1305
NCF18,OUT017,2785.6593
NCD43,OUT027,2846.4008
NCD54,OUT018,1716.2138
FDY19,OUT010,207.1305
NCY54,OUT017,2785.6593
NCL19,OUT018,2785.6593
FDP23,OUT010,471.3068
FDC26,OUT013,1716.2138
FDR14,OUT010,207.1305
NCS41,OUT035,2785.6593
FDF41,OUT035,3845.9303
FDU34,OUT046,1716.2138
DRH11,OUT046,858.3666
FDM03,OUT013,1716.2138
FDS31,OUT017,2785.6593
FDJ20,OUT017,1716.2138
FDV44,OUT027,5669.1633
FDG02,OUT049,2785.6593
FDA09,OUT013,2785.6593
FDT04,OUT013,858.3666
FDL58,OUT019,471.3068
FDE52,OUT045,1716.2138
FDW12,OUT035,2785.6593
FDL51,OUT017,3845.9303
NCY42,OUT027,2846.4008
FDR07,OUT017,1716.2138
FDN40,OUT045,2785.6593
FDB35,OUT027,2846.4008
FDA22,OUT017,2785.6593
NCL06,OUT046,3845.9303
FDI35,OUT013,2785.6593
NCW42,OUT045,3845.9303
NCX06,OUT049,2785.6593
FDC37,OUT027,2846.4008
FDZ14,OUT018,1716.2138
DRG49,OUT049,3845.9303
NCG06,OUT045,3845.9303
DRC36,OUT045,2785.6593
FDV21,OUT019,207.1305
FDB53,OUT046,2785.6593
DRP47,OUT019,471.3068
FDA14,OUT013,2785.6593
DRC24,OUT035,2785.6593
FDW21,OUT018,1716.2138
NCH29,OUT046,1716.2138
FDU58,OUT013,2785.6593
FDY27,OUT017,2785.6593
FDV56,OUT035,1716.2138
FDT59,OUT046,3845.9303
FDB23,OUT046,3845.9303
FDR49,OUT045,858.3666
FDB03,OUT010,471.3068
FDN39,OUT045,2785.6593
FDX02,OUT027,5669.1633
FDQ16,OUT027,2846.4008
FDU35,OUT018,1716.2138
NCT29,OUT013,1716.2138
FDZ27,OUT046,858.3666
FDN57,OUT017,1716.2138
FDA03,OUT018,2785.6593
FDZ36,OUT045,2785.6593
NCU05,OUT013,1716.2138
FDT39,OUT018,2785.6593
FDK60,OUT017,1716.2138
FDZ25,OUT017,2785.6593
FDG12,OUT046,1716.2138
DRB01,OUT019,471.3068
NCC43,OUT027,5669.1633
FDX13,OUT019,471.3068
FDM22,OUT049,858.3666
FDJ03,OUT027,858.3666
FDU14,OUT018,3845.9303
FDB33,OUT010,471.3068
FDP27,OUT046,2785.6593
FDO38,OUT010,207.1305
FDE28,OUT027,5669.1633
FDO27,OUT035,1716.2138
DRL23,OUT027,2846.4008
FDS28,OUT046,858.3666
FDX24,OUT013,1716.2138
FDZ02,OUT035,1716.2138
FDL46,OUT045,1716.2138
FDS60,OUT027,5669.1633
NCO06,OUT017,858.3666
FDO16,OUT035,1716.2138
FDC60,OUT049,1716.2138
FDA48,OUT018,3845.9303
FDZ36,OUT027,5669.1633
FDK27,OUT045,1716.2138
FDW23,OUT018,858.3666
FDM14,OUT018,1716.2138
FDM14,OUT013,1716.2138
