"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","source","Outlet_Years","Item_Type_New"
"FDA15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3735.138,"train",14,"Food"
"DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228,"train",4,"Drinks"
"FDN15",17.5,"Low Fat",0.016760075,"Meat",141.618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2097.27,"train",14,"Food"
"FDX07",19.2,"Regular",0.0178,"Fruits and Vegetables",182.095,"OUT010",1998,"Small","Tier 3","Grocery Store",732.38,"train",15,"Food"
"NCD19",8.93,"Low Fat",0.0098,"Household",53.8614,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052,"train",26,"Non-Consumable"
"FDP36",10.395,"Regular",0.0571,"Baking Goods",51.4008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",556.6088,"train",4,"Food"
"FDO10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528,"train",26,"Food"
"FDP10",19,"Low Fat",0.127469857,"Snack Foods",107.7622,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4022.7636,"train",28,"Food"
"FDH17",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1076.5986,"train",11,"Food"
"FDU28",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4710.535,"train",6,"Food"
"FDY07",11.8,"Low Fat",0.0406,"Fruits and Vegetables",45.5402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1516.0266,"train",14,"Food"
"FDA03",18.5,"Regular",0.045463773,"Dairy",144.1102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2187.153,"train",16,"Food"
"FDX32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1589.2646,"train",14,"Food"
"FDS46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2145.2076,"train",16,"Food"
"FDF32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013",1987,"High","Tier 3","Supermarket Type1",1977.426,"train",26,"Food"
"FDP49",9,"Regular",0.069088961,"Breakfast",56.3614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.3192,"train",16,"Food"
"NCB42",11.8,"Low Fat",0.008596051,"Health and Hygiene",115.3492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888,"train",4,"Non-Consumable"
"FDP49",9,"Regular",0.069196376,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",718.3982,"train",14,"Food"
"DRI11",8.26,"Low Fat",0.034237682,"Hard Drinks",113.2834,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2303.668,"train",28,"Drinks"
"FDU02",13.35,"Low Fat",0.10249212,"Dairy",230.5352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2748.4224,"train",9,"Food"
"FDN22",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"OUT013",1987,"High","Tier 3","Supermarket Type1",3775.086,"train",26,"Food"
"FDW12",8.315,"Regular",0.035399923,"Baking Goods",144.5444,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4064.0432,"train",28,"Food"
"NCB30",14.6,"Low Fat",0.025698134,"Household",196.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1587.2672,"train",9,"Non-Consumable"
"FDC37",15.5,"Low Fat",0.057556998,"Baking Goods",107.6938,"OUT019",1985,"Small","Tier 1","Grocery Store",214.3876,"train",28,"Food"
"FDR28",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4078.025,"train",16,"Food"
"NCD06",13,"Low Fat",0.099887103,"Household",45.906,"OUT017",2007,"Small","Tier 2","Supermarket Type1",838.908,"train",6,"Non-Consumable"
"FDV10",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1065.28,"train",9,"Food"
"DRJ59",11.65,"Low Fat",0.019356132,"Hard Drinks",39.1164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312,"train",26,"Drinks"
"FDE51",5.925,"Regular",0.161466534,"Dairy",45.5086,"OUT010",1998,"Small","Tier 3","Grocery Store",178.4344,"train",15,"Food"
"FDC14",14.5,"Regular",0.072221801,"Canned",43.6454,"OUT019",1985,"Small","Tier 1","Grocery Store",125.8362,"train",28,"Food"
"FDV38",19.25,"Low Fat",0.170348551,"Dairy",55.7956,"OUT010",1998,"Small","Tier 3","Grocery Store",163.7868,"train",15,"Food"
"NCS17",18.6,"Low Fat",0.080829372,"Health and Hygiene",96.4436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2741.7644,"train",4,"Non-Consumable"
"FDP33",18.7,"Low Fat",0.0931,"Snack Foods",256.6672,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3068.0064,"train",4,"Food"
"FDO23",17.85,"Low Fat",0.1425,"Breads",93.1436,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2174.5028,"train",11,"Food"
"DRH01",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2085.2856,"train",16,"Drinks"
"NCX29",10,"Low Fat",0.089291137,"Health and Hygiene",146.7102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3791.0652,"train",14,"Non-Consumable"
"FDV20",20.2,"Regular",0.059511812,"Fruits and Vegetables",128.0678,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2797.6916,"train",28,"Food"
"DRZ11",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1609.9044,"train",4,"Drinks"
"FDX10",6.385,"Regular",0.123111453,"Snack Foods",36.9874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",388.1614,"train",28,"Food"
"FDB34",15.25,"Low Fat",0.026480954,"Snack Foods",87.6198,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2180.495,"train",28,"Food"
"FDU02",13.35,"Low Fat",0.102511504,"Dairy",230.6352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,"train",16,"Food"
"FDK43",9.8,"Low Fat",0.02681843,"Meat",126.002,"OUT013",1987,"High","Tier 3","Supermarket Type1",2150.534,"train",26,"Food"
"FDA46",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2527.3768,"train",14,"Food"
"FDC02",21.35,"Low Fat",0.069102831,"Canned",259.9278,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6768.5228,"train",4,"Food"
"FDL50",12.15,"Regular",0.042277867,"Canned",126.5046,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138,"train",26,"Food"
"FDM39",6.42,"Low Fat",0.089498926,"Dairy",178.1002,"OUT010",1998,"Small","Tier 3","Grocery Store",358.2004,"train",15,"Food"
"NCP05",19.6,"Low Fat",0.0188,"Health and Hygiene",153.3024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2428.8384,"train",11,"Non-Consumable"
"FDV49",10,"Low Fat",0.025879577,"Canned",265.2226,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5815.0972,"train",11,"Food"
"FDL12",15.85,"Regular",0.121632721,"Baking Goods",60.622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2576.646,"train",16,"Food"
"FDS02",10.195,"Regular",0.255394896,"Dairy",196.8794,"OUT019",1985,"Small","Tier 1","Grocery Store",780.3176,"train",28,"Food"
"NCL17",7.39,"Low Fat",0.067779712,"Health and Hygiene",143.8812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3134.5864,"train",16,"Non-Consumable"
"FDM40",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,"OUT013",1987,"High","Tier 3","Supermarket Type1",850.8924,"train",26,"Food"
"FDR13",9.895,"Regular",0.028696932,"Canned",117.0492,"OUT013",1987,"High","Tier 3","Supermarket Type1",810.9444,"train",26,"Food"
"FDA43",10.895,"Low Fat",0.065041581,"Fruits and Vegetables",196.3794,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3121.2704,"train",6,"Food"
"NCP18",12.15,"Low Fat",0.028760013,"Household",151.4708,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4815.0656,"train",6,"Non-Consumable"
"FDK21",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6258.52,"train",4,"Food"
"NCX54",9.195,"Low Fat",0.048157338,"Household",106.1622,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2117.244,"train",11,"Non-Consumable"
"DRK35",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",796.9626,"train",14,"Drinks"
"FDY21",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4910.275,"train",16,"Food"
"FDI26",5.94,"Low Fat",0.061082177,"Canned",180.0344,"OUT019",1985,"Small","Tier 1","Grocery Store",892.172,"train",28,"Food"
"FDM20",10,"Low Fat",0.0365,"Fruits and Vegetables",246.9144,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.1872,"train",4,"Food"
"FDV27",7.97,"Regular",0.040071131,"Meat",87.3514,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1062.6168,"train",11,"Food"
"FDF09",6.215,"Low Fat",0.012090074,"Fruits and Vegetables",38.2848,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",484.7024,"train",28,"Food"
"FDY40",15.5,"Regular",0.15028599,"Frozen Foods",51.0692,"OUT019",1985,"Small","Tier 1","Grocery Store",147.8076,"train",28,"Food"
"FDY45",17.5,"Low Fat",0.026015519,"Snack Foods",255.8356,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2543.356,"train",28,"Food"
"FDC46",17.7,"Low Fat",0.195068226,"Snack Foods",185.4266,"OUT010",1998,"Small","Tier 3","Grocery Store",184.4266,"train",15,"Food"
"FDH19",19.35,"Low Fat",0.033082215,"Meat",172.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4865.6664,"train",9,"Food"
"FDZ03",13.65,"Regular",0.078946455,"Dairy",186.024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1118.544,"train",11,"Food"
"DRH37",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2302.3364,"train",11,"Drinks"
"NCI17",8.645,"Low Fat",0.143422643,"Health and Hygiene",95.841,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2027.361,"train",16,"Non-Consumable"
"FDJ58",15.6,"Regular",0.105296072,"Snack Foods",170.1764,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,"train",16,"Food"
"FDL12",15.85,"Regular",0.121531501,"Baking Goods",59.222,"OUT013",1987,"High","Tier 3","Supermarket Type1",599.22,"train",26,"Food"
"FDH35",18.25,"Low Fat",0.0581,"Starchy Foods",164.7526,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4604.6728,"train",11,"Food"
