"Item_Weight","Item_Fat_Content_Low Fat","Item_Fat_Content_Regular","Item_Visibility","Item_MRP","Outlet_Size_High","Outlet_Size_Medium","Outlet_Size_Small","Outlet_Location_Type_Tier 1","Outlet_Location_Type_Tier 2","Outlet_Location_Type_Tier 3","Outlet_Type_Grocery Store","Outlet_Type_Supermarket Type1","Outlet_Type_Supermarket Type2","Outlet_Type_Supermarket Type3","Outlet_Years","Item_Outlet_Sales"
9.3,1,0,0.016047301,249.8092,0,1,0,1,0,0,0,1,0,0,14,3735.138
5.92,0,1,0.019278216,48.2692,0,1,0,0,0,1,0,0,1,0,4,443.4228
17.5,1,0,0.016760075,141.618,0,1,0,1,0,0,0,1,0,0,14,2097.27
19.2,0,1,0.0178,182.095,0,0,1,0,0,1,1,0,0,0,15,732.38
8.93,1,0,0.0098,53.8614,1,0,0,0,0,1,0,1,0,0,26,994.7052
10.395,0,1,0.0571,51.4008,0,1,0,0,0,1,0,0,1,0,4,556.6088
13.65,0,1,0.012741089,57.6588,1,0,0,0,0,1,0,1,0,0,26,343.5528
19,1,0,0.127469857,107.7622,0,1,0,0,0,1,0,0,0,1,28,4022.7636
16.2,0,1,0.016687114,96.9726,0,0,1,0,1,0,0,1,0,0,11,1076.5986
19.2,0,1,0.09444959,187.8214,0,0,1,0,1,0,0,1,0,0,6,4710.535
11.8,1,0,0.0406,45.5402,0,1,0,1,0,0,0,1,0,0,14,1516.0266
18.5,0,1,0.045463773,144.1102,0,0,1,1,0,0,0,1,0,0,16,2187.153
15.1,0,1,0.1000135,145.4786,0,1,0,1,0,0,0,1,0,0,14,1589.2646
17.6,0,1,0.047257328,119.6782,0,0,1,1,0,0,0,1,0,0,16,2145.2076
16.35,1,0,0.0680243,196.4426,1,0,0,0,0,1,0,1,0,0,26,1977.426
9,0,1,0.069088961,56.3614,0,0,1,1,0,0,0,1,0,0,16,1547.3192
11.8,1,0,0.008596051,115.3492,0,1,0,0,0,1,0,0,1,0,4,1621.8888
9,0,1,0.069196376,54.3614,0,1,0,1,0,0,0,1,0,0,14,718.3982
8.26,1,0,0.034237682,113.2834,0,1,0,0,0,1,0,0,0,1,28,2303.668
13.35,1,0,0.10249212,230.5352,0,0,1,0,1,0,0,1,0,0,9,2748.4224
18.85,0,1,0.138190277,250.8724,1,0,0,0,0,1,0,1,0,0,26,3775.086
8.315,0,1,0.035399923,144.5444,0,1,0,0,0,1,0,0,0,1,28,4064.0432
14.6,1,0,0.025698134,196.5084,0,0,1,0,1,0,0,1,0,0,9,1587.2672
15.5,1,0,0.057556998,107.6938,0,0,1,1,0,0,1,0,0,0,28,214.3876
13.85,0,1,0.025896485,165.021,0,0,1,1,0,0,0,1,0,0,16,4078.025
13,1,0,0.099887103,45.906,0,0,1,0,1,0,0,1,0,0,6,838.908
7.645,0,1,0.066693437,42.3112,0,0,1,0,1,0,0,1,0,0,9,1065.28
11.65,1,0,0.019356132,39.1164,1,0,0,0,0,1,0,1,0,0,26,308.9312
5.925,0,1,0.161466534,45.5086,0,0,1,0,0,1,1,0,0,0,15,178.4344
14.5,0,1,0.072221801,43.6454,0,0,1,1,0,0,1,0,0,0,28,125.8362
19.25,1,0,0.170348551,55.7956,0,0,1,0,0,1,1,0,0,0,15,163.7868
18.6,1,0,0.080829372,96.4436,0,1,0,0,0,1,0,0,1,0,4,2741.7644
18.7,1,0,0.0931,256.6672,0,1,0,0,0,1,0,0,1,0,4,3068.0064
17.85,1,0,0.1425,93.1436,0,0,1,0,1,0,0,1,0,0,11,2174.5028
17.5,1,0,0.097904029,174.8738,0,0,1,1,0,0,0,1,0,0,16,2085.2856
10,1,0,0.089291137,146.7102,0,1,0,1,0,0,0,1,0,0,14,3791.0652
20.2,0,1,0.059511812,128.0678,0,1,0,0,0,1,0,0,0,1,28,2797.6916
8.85,0,1,0.113123893,122.5388,0,1,0,0,0,1,0,0,1,0,4,1609.9044
6.385,0,1,0.123111453,36.9874,0,1,0,0,0,1,0,0,0,1,28,388.1614
15.25,1,0,0.026480954,87.6198,0,1,0,0,0,1,0,0,0,1,28,2180.495
13.35,1,0,0.102511504,230.6352,0,0,1,1,0,0,0,1,0,0,16,3435.528
9.8,1,0,0.02681843,126.002,1,0,0,0,0,1,0,1,0,0,26,2150.534
13.6,1,0,0.117818348,192.9136,0,1,0,1,0,0,0,1,0,0,14,2527.3768
21.35,1,0,0.069102831,259.9278,0,1,0,0,0,1,0,0,1,0,4,6768.5228
12.15,0,1,0.042277867,126.5046,1,0,0,0,0,1,0,1,0,0,26,373.5138
6.42,1,0,0.089498926,178.1002,0,0,1,0,0,1,1,0,0,0,15,358.2004
19.6,1,0,0.0188,153.3024,0,0,1,0,1,0,0,1,0,0,11,2428.8384
10,1,0,0.025879577,265.2226,0,0,1,0,1,0,0,1,0,0,11,5815.0972
15.85,0,1,0.121632721,60.622,0,0,1,1,0,0,0,1,0,0,16,2576.646
10.195,0,1,0.255394896,196.8794,0,0,1,1,0,0,1,0,0,0,28,780.3176
7.39,1,0,0.067779712,143.8812,0,0,1,1,0,0,0,1,0,0,16,3134.5864
10.195,1,0,0.159803853,141.5154,1,0,0,0,0,1,0,1,0,0,26,850.8924
9.895,0,1,0.028696932,117.0492,1,0,0,0,0,1,0,1,0,0,26,810.9444
10.895,1,0,0.065041581,196.3794,0,0,1,0,1,0,0,1,0,0,6,3121.2704
12.15,1,0,0.028760013,151.4708,0,0,1,0,1,0,0,1,0,0,6,4815.0656
7.905,1,0,0.010053105,249.0408,0,1,0,0,0,1,0,0,1,0,4,6258.52
9.195,1,0,0.048157338,106.1622,0,0,1,0,1,0,0,1,0,0,11,2117.244
8.365,1,0,0.071958197,38.0506,0,1,0,1,0,0,0,1,0,0,14,796.9626
15.1,1,0,0.173481304,194.511,0,0,1,1,0,0,0,1,0,0,16,4910.275
5.94,1,0,0.061082177,180.0344,0,0,1,1,0,0,1,0,0,0,28,892.172
10,1,0,0.0365,246.9144,0,1,0,0,0,1,0,0,1,0,4,3185.1872
7.97,0,1,0.040071131,87.3514,0,0,1,0,1,0,0,1,0,0,11,1062.6168
6.215,1,0,0.012090074,38.2848,0,1,0,0,0,1,0,0,0,1,28,484.7024
15.5,0,1,0.15028599,51.0692,0,0,1,1,0,0,1,0,0,0,28,147.8076
17.5,1,0,0.026015519,255.8356,0,1,0,0,0,1,0,0,0,1,28,2543.356
17.7,1,0,0.195068226,185.4266,0,0,1,0,0,1,1,0,0,0,15,184.4266
19.35,1,0,0.033082215,172.5738,0,0,1,0,1,0,0,1,0,0,9,4865.6664
13.65,0,1,0.078946455,186.024,0,0,1,0,1,0,0,1,0,0,11,1118.544
17.6,1,0,0.041700756,164.8526,0,0,1,0,1,0,0,1,0,0,11,2302.3364
8.645,1,0,0.143422643,95.841,0,0,1,1,0,0,0,1,0,0,16,2027.361
15.6,0,1,0.105296072,170.1764,0,0,1,1,0,0,0,1,0,0,16,3435.528
15.85,0,1,0.121531501,59.222,1,0,0,0,0,1,0,1,0,0,26,599.22
18.25,1,0,0.0581,164.7526,0,0,1,0,1,0,0,1,0,0,11,4604.6728
7.855,1,0,0.011324862,189.6188,0,0,1,0,1,0,0,1,0,0,6,2285.0256
7.825,1,0,0.186357148,254.3698,0,1,0,1,0,0,0,1,0,0,14,5580.7356
8.39,0,1,0.024205661,114.0176,0,0,1,1,0,0,0,1,0,0,16,2290.352
12.85,1,0,0.033230816,172.3422,0,1,0,1,0,0,0,1,0,0,14,1207.0954
13.35,1,0,0.113720344,89.9804,0,0,1,1,0,0,1,0,0,0,28,643.1628
19,1,0,0.112556507,104.9622,0,0,1,0,1,0,0,1,0,0,6,1587.933
5.905,1,0,0.0444,222.5456,0,0,1,0,1,0,0,1,0,0,11,5305.0944
7.76,1,0,0.059352241,101.87,0,0,1,1,0,0,0,1,0,0,16,1697.79
11.8,0,1,0.014087057,180.3344,0,0,1,1,0,0,0,1,0,0,16,1427.4752
16.75,1,0,0.045230944,187.9556,0,1,0,0,0,1,0,0,1,0,4,4693.89
18.85,1,0,0.293417759,194.6136,0,0,1,1,0,0,1,0,0,0,28,583.2408
12.6,0,1,0.031382044,171.3764,0,1,0,0,0,1,0,0,0,1,28,3091.9752
15.5,0,1,0.12639886,177.0028,0,0,1,0,1,0,0,1,0,0,6,2479.4392
6.055,1,0,0.025403898,160.992,0,0,1,0,1,0,0,1,0,0,9,2716.464
20.2,0,1,0.039057677,155.963,0,1,0,0,0,1,0,0,0,1,28,3285.723
6.305,0,1,0.123115764,95.6436,0,0,1,1,0,0,0,1,0,0,16,661.8052
